Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Sprite (Medium),434,176.39,0,0,61,43.4,,43.4,0
Sprite (Small),340,138.15,0,0,48,34,,34,0
Sticky Date Pudding With Ice Cream,120,329.83,15.7,5.6,249,41.5,,30,5.2
Sticky Date Pudding,60,228.97,11.6,2.9,183,28.4,,16.9,2.3
Storm Flake,289,556.88,21.9,13.7,314,70,,69.7,19.3
Storm M&M's Minis,309,645.32,26.3,17.1,324,85.4,,84.2,15.4
Storm Oreo ,295,568.83,21.9,13.7,458,77.3,,65.7,15
Strawberry Sundae (Large),216,368.07,12.4,8.1,200,55.5,,54.3,9.1
Strawberry Sundae (Small),141,239.01,8.3,5.5,136,35.1,,34.5,6.2
Strawberry Thickshake (Large),359,470.84,10.6,6.7,241,79.9,,75.4,13.5
Strawberry Thickshake (Medium),268,351.34,7.9,5,179,59.6,,56.3,10.1
Strawberry Thickshake (Small),195,243.79,6,3.8,135,39.7,,37.1,7.6
Sweet 'N' Sour Dipping Tub,31,46.13,0.1,0.1,198,11.2,,9.8,0.1
Syrup Caramel,8,22.94,0,0,0,5.5,,5.5,0
Syrup Hazelnut,8,23.18,0,0,0,5.7,,5.6,0
Syrup Vanilla,8,24.14,0,0,0,5.8,,5.8,0
Triple Cheeseburger Super Stunner,764,1386.23,74.1,27.4,2010,131,,54.4,49.4
Triple Cheeseburger,210,587.95,35,17.6,965,31.3,,5.5,37.4
Triple Whopper,426,1089.87,73.8,29,971,48.8,,8.2,59.2
Ultimate Double Whopper,444,1104.21,72.8,29.8,2040,50.3,,10,62.9
Vanilla Sundae (Large),216,451.72,18,12.1,296,58.6,,58.6,13.2
Vanilla Sundae (Small),141,296.37,11.8,7.9,194,38.4,,38.4,8.6
Vanilla Thickshake (Large),392,444.55,12.9,8.2,286,65.3,,59.9,16.4
Vanilla Thickshake (Medium),295,334.61,9.7,6.2,215,49.1,,45,12.4
Vanilla Thickshake (Small),221,250.96,7.3,4.6,161,36.9,,33.8,9.3
Vegan Whopper Cheese,338,652.49,25.7,5.6,1480,87.8,,11.7,16.4
Whopper Jnr,147,370.46,19.9,5.4,372,32.9,,4.6,14.9
Whopper Carolina Double,437,1223.71,81.6,34.1,1980,61.8,,11.8,60.9
Whopper Carolina Hunger Tamers,1064,2021.99,113,32.2,3140,184,,61,65.3
Whopper Carolina,336,917.78,57.5,21.1,1600,60.6,,10.8,38.9
Whopper Cheese Hunger Tamers,1038,1859.46,102,27.1,2780,177,,60,58.6
Whopper Cheese,302,733.75,45.1,15.5,1210,49.2,,9.4,32.9
Whopper Family Bundle,3382,5305.93,256,74.4,6590,614,,258,134
Whopper Jnr Cheese,157,389.58,22.4,7.3,634,30.7,,4.9,16.5
Whopper,276,645.32,39,11.6,844,48.1,,8,25.9
