Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Tuscan Six Cheese Pizza (Original Crust, Medium),1 slice,94,,230,9,4.5,0,20,560,27,1,3,10
Tuscan Six Cheese Pizza (Original Crust, Large),1 slice,133,,320,12,6,0,30,780,38,2,5,14
Tuscan Six Cheese Pizza (Original Crust, Extra Large),1 slice,139,,330,12,6,0,30,810,40,2,5,14
The Works Pizza (Original Crust, Extra Small),1 slice,110,,230,10,4,0,25,610,26,1,4,9
The Works Pizza (Original Crust, Small),1 slice,106,,230,9,4,0,20,590,26,1,3,9
The Works Pizza (Original Crust, Medium),1 slice,112,,230,9,4,0,25,620,27,1,4,9
The Works Pizza (Original Crust, Large),1 slice,159,,340,14,6,0,35,890,39,2,5,13
The Works Pizza (Original Crust, Extra Large),1 slice,172,,360,15,6,0,35,940,41,2,6,14
The Meats Pizza (Original Crust, Extra Small),1 slice,104,,260,12,5,0,30,700,25,1,3,11
The Meats Pizza (Original Crust, Small),1 slice,101,,250,11,4.5,0,30,680,25,1,3,10
The Meats Pizza (Original Crust, Medium),1 slice,103,,250,11,4.5,0,30,690,27,1,3,11
The Meats Pizza (Original Crust, Large),1 slice,151,,370,17,7,0,45,1010,38,2,5,15
The Meats Pizza (Original Crust, Extra Large),1 slice,162,,400,18,7,0,45,1090,40,2,5,17
Meatball Pepperoni Pizza (Original Crust, Extra Small),1 slice,95,,240,10,4.5,0,25,600,26,1,3,10
Meatball Pepperoni Pizza (Original Crust, Small),1 slice,95,,230,10,4.5,0,25,580,26,1,3,10
Meatball Pepperoni Pizza (Original Crust, Medium),1 slice,98,,240,10,4.5,0,25,600,27,1,3,10
Meatball Pepperoni Pizza (Original Crust, Large),1 slice,142,,360,15,7,0,40,880,38,2,5,15
Meatball Pepperoni Pizza (Original Crust, Extra Large),1 slice,150,,370,16,7,0,40,920,41,2,5,15
Philly Cheesesteak Pizza (Original Crust, Extra Small),1 slice,99,,240,11,4,0,20,550,25,1,3,10
Philly Cheesesteak Pizza (Original Crust, Small),1 slice,99,,240,11,4,0,20,560,25,1,3,10
Philly Cheesesteak Pizza (Original Crust, Medium),1 slice,102,,250,11,4,0,20,570,26,1,3,10
Philly Cheesesteak Pizza (Original Crust, Large),1 slice,148,,360,16,6,0,30,840,38,2,4,15
Philly Cheesesteak Pizza (Original Crust, Extra Large),1 slice,157,,380,17,6,0,35,890,40,2,5,16
Fiery Buffalo Chicken Pizza (Original Crust, Extra Small),1 slice,100,,230,8,3.5,0,30,810,25,1,3,12
Fiery Buffalo Chicken Pizza (Original Crust, Small),1 slice,91,,210,8,3,0,25,750,25,1,3,10
Fiery Buffalo Chicken Pizza (Original Crust, Medium),1 slice,97,,230,8,3.5,0,25,790,26,1,3,11
Fiery Buffalo Chicken Pizza (Original Crust, Large),1 slice,139,,320,12,5,0,40,1150,38,2,4,16
Fiery Buffalo Chicken Pizza (Original Crust, Extra Large),1 slice,146,,340,12,5,0,40,1210,40,2,5,17
Ultimate Pepperoni Pizza (Original Crust, Extra Small),1 slice,97,,250,12,5,0,30,660,26,1,3,10
Ultimate Pepperoni Pizza (Original Crust, Small),1 slice,92,,240,10,4.5,0,25,600,26,1,3,9
Ultimate Pepperoni Pizza (Original Crust, Medium),1 slice,97,,250,11,5,0,25,650,27,1,3,10
Ultimate Pepperoni Pizza (Original Crust, Large),1 slice,139,,360,16,7,0,40,930,38,2,5,14
Ultimate Pepperoni Pizza (Original Crust, Extra Large),1 slice,152,,410,20,8,0,45,1070,40,2,5,16
Anchovies (Extra Topping, Extra Small Pizza),1 amount per slice,4,,10,0,0,0,5,210,0,0,0,1
Anchovies (Extra Topping, Small Pizza),1 amount per slice,4,,10,0,0,0,5,210,0,0,0,1
Anchovies (Extra Topping, Medium Pizza),1 amount per slice,4,,10,0,0,0,5,210,0,0,0,1
Anchovies (Extra Topping, Large Pizza),1 amount per slice,4,,10,0,0,0,5,210,0,0,0,1
Anchovies (Extra Topping, Extra Large Pizza),1 amount per slice,4,,10,0,0,0,5,210,0,0,0,1
Bacon (Extra Topping, Extra Small Pizza),1 amount per slice,7,,30,2,0.5,0,10,85,0,0,0,2
Bacon (Extra Topping, Small Pizza),1 amount per slice,7,,25,2,0.5,0,5,80,0,0,0,2
Bacon (Extra Topping, Medium Pizza),1 amount per slice,8,,30,2,0.5,0,10,90,0,0,0,2
Bacon (Extra Topping, Large Pizza),1 amount per slice,10,,40,3,1,0,10,120,0,0,0,3
Bacon (Extra Topping, Extra Large Pizza),1 amount per slice,10,,40,3,1,0,10,120,0,0,0,3
Beef (Extra Topping, Extra Small Pizza),1 amount per slice,9,,25,2,1,0,5,85,0,0,0,1
Beef (Extra Topping, Small Pizza),1 amount per slice,9,,30,2.5,1,0,5,95,0,0,0,1
Beef (Extra Topping, Medium Pizza),1 amount per slice,11,,30,2.5,1,0,5,105,0,0,0,2
Beef (Extra Topping, Large Pizza),1 amount per slice,14,,40,3.5,1.5,0,10,140,0,0,0,2
Beef (Extra Topping, Extra Large Pizza),1 amount per slice,14,,40,3.5,1.5,0,10,140,0,0,0,2
Canadian Bacon (Extra Topping, Extra Small Pizza),1 amount per slice,9,,10,0,0,0,5,105,0,0,0,2
Canadian Bacon (Extra Topping, Small Pizza),1 amount per slice,9,,10,0.5,0,0,5,110,0,0,0,2
Canadian Bacon (Extra Topping, Medium Pizza),1 amount per slice,11,,15,0.5,0,0,5,125,0,0,0,2
Canadian Bacon (Extra Topping, Large Pizza),1 amount per slice,14,,20,1,0,0,10,160,0,0,0,2
Canadian Bacon (Extra Topping, Extra Large Pizza),1 amount per slice,14,,20,1,0,0,10,160,0,0,0,2
Chicken (Extra Topping, Extra Small Pizza),1 amount per slice,13,,20,0,0,0,10,95,0,0,0,4
Chicken (Extra Topping, Small Pizza),1 amount per slice,9,,15,0,0,0,10,70,0,0,0,3
Chicken (Extra Topping, Medium Pizza),1 amount per slice,11,,15,0,0,0,10,80,0,0,0,4
Chicken (Extra Topping, Large Pizza),1 amount per slice,14,,20,0,0,0,15,105,0,0,0,5
