Name,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Tandoori Chicken Baguette,223,,475,11,1.5,70,3.5,7.6,26
Tandoori Chicken Roll (HS),172,,353,9.8,1.0,48,4.9,8.9,20
Tea with soya alternative to milk - Large,,404,12,0.6,0.0,0.8,0.0,0.8,1.0
Tea with soya alternative to milk - Regular,,316,9,0.0,0.0,0.7,0.0,0.6,0.8
Tomato Soup,300,,195,8.1,1.5,27,1.8,22,4.8
Tottenham Cake,91,,393,17,3.5,56,0.7,38,4.3
Triple Chocolate Brownies,21,,98,5.2,3.1,12,0.7,8.7,1.1
Triple Chocolate Cookies,73,,349,19,7.5,43,7.2,21,5.2
Triple Chocolate Doughnut,85,,350,19,8.5,41,1.4,19,4.5
Triple Chocolate Muffin,129,,445,21,6.1,61,4.3,38,7.3
Tuna Crunch (HS),188,,325,5.5,0.6,50,4.4,8.9,21
Tuna Crunch Baguette,236,,422,5.8,1.0,67,3.8,8.0,27
Tuna Crunch Pasta,250,,375,10,1.0,55,2.1,6.9,17
Tuna Crunch Roll (HS),187,,320,6.1,0.7,47,5.2,9.5,21
Tuna Mayonnaise & Cucumber,195,,334,7.4,0.8,47,3.9,6.3,22
Tuna Mayonnaise Roll,199,,331,8.0,0.8,44,4.8,7.0,23
Tuna Mayonnaise Stottie,257,,482,9.0,1.0,74,4.7,9.3,30
Vanilla Custard Slice,129,,334,12,7.2,52,0.0,32,4.2
Vanilla Latte Large,,418,225,8.1,5.3,27,0.0,24,10
Vanilla Latte Regular,,364,204,7.4,4.9,26,0.0,24,8.2
Vegan Cajun Chicken Free Roll,185,,366,6.7,0.7,62,8.7,19,19
Vegan Chilli Loaded Wedges,309,,417,14,1.6,70,13,10,9.4
Vegan Mexican Chicken Bake,155,,426,24,11,44,3.9,7.0,9.9
Vegan Sausage Breakfast Roll,177,,408,14,4.7,50,4.9,6.3,23
Vegan Sausage Roll,101,,303,18,8.7,26,3.8,0.8,11
Vegan Sausage Bean & CheeZe Melt,147,,420,25,13,41,3.9,2.6,8.8
Vegan Southern Fried Chicken-Free Baguette,218,,570,14,4.4,94,6.1,18,21
Vegan Southern Fried Chicken-Free Goujons,141,,387,21,2.2,31,5.8,2.1,21
Vegetable Bake,150,,427,28,15,36,2.6,2.8,8.8
