Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#7 Turkey and Provolone (Giant, Gluten Free Bread)",1410,87.55,18.4,1.2,122.89,3052.02,92.63,7.79,15.12,68.8
"#7 Turkey and Provolone (Wrap, White Wrap)",800,45.32,12.6,0.66,65.64,1867.12,60.03,4.25,4.76,38.09
"#7 Turkey and Provolone (Wrap, Tomato Basil Wrap)",800,45.32,12.6,0.66,65.64,1847.12,60.03,4.25,4.76,38.09
"#7 Turkey and Provolone (Wrap, Wheat Wrap)",780,45.32,12.6,0.66,65.64,1877.12,58.03,8.25,4.76,39.09
"#7 Turkey and Provolone (Wrap, Garlic Herb Wrap)",800,45.32,12.6,0.66,65.64,2077.12,60.03,4.25,4.76,38.09
"#7 Turkey and Provolone (Wrap, Spinach Herb Wrap)",800,45.32,12.6,0.66,65.64,1867.12,59.03,4.25,4.76,39.09
#7 Turkey and Provolone (Bowl),490,38.32,9.6,0.66,65.64,1127.12,8.03,2.25,4.76,30.09
"#10 Tuna Fish (Mini, White Bread)",610,41.6,6.16,0.48,29.97,802.56,40.51,3.05,4.57,19.68
"#10 Tuna Fish (Mini, Rosemary Parmesan Bread)",630,43.03,7.04,0.48,34.14,849.63,41.05,3.3,4.58,21.04
"#10 Tuna Fish (Mini, Wheat Bread)",620,41.88,5.91,0.48,29.97,778.05,41.12,4.49,5.28,20.25
"#10 Tuna Fish (Mini, Seeded Italian Bread)",640,42.86,6.37,0.48,29.97,821.8,46.23,4.7,5.81,19.84
"#10 Tuna Fish (Regular, White Bread)",1030,74.36,11,0.87,50.71,1276.51,61.51,4.64,7.01,31.89
"#10 Tuna Fish (Regular, Rosemary Parmesan Bread)",1070,76.52,12.33,0.87,57.04,1347.83,62.33,5.02,7.03,33.96
"#10 Tuna Fish (Regular, Wheat Bread)",1050,74.78,10.61,0.87,50.71,1239.38,62.43,6.81,8.09,32.76
"#10 Tuna Fish (Regular, Seeded Italian Bread)",1080,76.27,11.32,0.86,50.71,1305.67,70.17,7.14,8.89,32.14
"#10 Tuna Fish (Regular, Gluten Free Bread)",990,78.77,11.07,0.86,50.71,1085.67,48.17,4.64,8.89,27.64
"#10 Tuna Fish (Giant, White Bread)",1970,140.73,20.83,1.63,92.2,2443.47,120.49,8.5,12.42,59.62
"#10 Tuna Fish (Giant, Rosemary Parmesan Bread)",2030,145.05,23.49,1.63,104.86,2586.12,122.13,9.25,12.45,63.76
"#10 Tuna Fish (Giant, Wheat Bread)",2000,141.57,20.05,1.63,92.2,2369.22,122.34,12.85,14.57,61.36
"#10 Tuna Fish (Giant, Seeded Italian Bread)",2070,144.55,21.46,1.62,92.2,2501.8,137.82,13.49,16.18,60.12
"#10 Tuna Fish (Giant, Gluten Free Bread)",1890,149.55,20.96,1.62,92.2,2061.8,93.82,8.49,16.18,51.12
"#10 Tuna Fish (Wrap, White Wrap)",1070,78.77,13.57,0.86,50.71,1380.67,60.67,4.64,5.39,29.64
"#10 Tuna Fish (Wrap, Tomato Basil Wrap)",1070,78.77,13.57,0.86,50.71,1360.67,60.67,4.64,5.39,29.64
"#10 Tuna Fish (Wrap, Wheat Wrap)",1050,78.77,13.57,0.86,50.71,1390.67,58.67,8.64,5.39,30.64
"#10 Tuna Fish (Wrap, Garlic Herb Wrap)",1070,78.77,13.57,0.86,50.71,1590.67,60.67,4.64,5.39,29.64
"#10 Tuna Fish (Wrap, Spinach Herb Wrap)",1070,78.77,13.57,0.86,50.71,1380.67,59.67,4.64,5.39,30.64
#10 Tuna Fish (Bowl),760,71.77,10.57,0.86,50.71,640.67,8.67,2.64,5.39,21.64
"#6 Roast Beef and Provolone (Mini, White Bread)",550,25.92,7.36,0.42,77.1,837.1,39.87,2.82,3.88,36.83
"#6 Roast Beef and Provolone (Mini, Rosemary Parmesan Bread)",570,27.34,8.23,0.42,81.28,884.18,40.41,3.07,3.89,38.2
"#6 Roast Beef and Provolone (Mini, Wheat Bread)",550,26.19,7.1,0.42,77.1,812.6,40.48,4.26,4.59,37.4
