Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Caffè Mocha (Tall, Nonfat, Whip)",354,250,8,5,0.2,25,110,34,3,28,11,95
"Caffè Mocha (Tall, 2%, No Whip)",354,230,6,4,0.2,20,115,32,3,26,10,95
"Caffè Mocha (Tall, 2%, Whip)",354,290,13,8,0.4,40,120,34,3,28,11,95
"Caffè Mocha (Tall, Whole, No Whip)",354,250,9,6,0.2,25,105,32,3,26,10,95
"Caffè Mocha (Tall, Whole, Whip)",354,310,16,9,0.4,45,110,34,3,28,10,95
"Caffè Mocha (Tall, Soy, No Whip)",354,200,5,1.5,0,0,90,28,4,20,9,95
"Caffè Mocha (Tall, Soy, Whip)",354,260,11,5,0.2,25,95,30,4,22,9,95
"Caffè Mocha (Tall, Coconut, No Whip)",354,190,7,6,0,0,105,29,3,23,3,95
"Caffè Mocha (Tall, Coconut, Whip)",354,250,13,10,0.2,25,110,30,3,25,3,95
"Caffè Mocha (Grande, Nonfat, No Whip)",473,250,2.5,1.5,0,5,125,42,4,34,13,175
"Caffè Mocha (Grande, Nonfat, Whip)",473,320,10,6,0.2,30,135,44,4,36,14,175
"Caffè Mocha (Grande, 2%, No Whip)",473,290,8,5,0.2,25,140,42,4,34,13,175
"Caffè Mocha (Grande, 2%, Whip)",473,360,15,9,0.5,50,150,44,4,35,13,175
"Caffè Mocha (Grande, Whole, No Whip)",473,330,12,7,0.3,30,130,42,4,34,13,175
"Caffè Mocha (Grande, Whole, Whip)",473,400,19,11,0.5,55,135,44,4,35,13,175
"Caffè Mocha (Grande, Soy, No Whip)",473,260,7,2,0,0,110,37,5,26,11,175
"Caffè Mocha (Grande, Soy, Whip)",473,330,14,6,0.2,25,115,39,5,28,12,175
"Caffè Mocha (Grande, Coconut, No Whip)",473,250,9,8,0,0,130,38,4,30,4,175
"Caffè Mocha (Grande, Coconut, Whip)",473,320,16,12,0.2,25,135,40,4,32,4,175
"Caffè Mocha (Venti, Nonfat, No Whip)",591,310,3.5,2,0,10,170,54,5,44,17,185
"Caffè Mocha (Venti, Nonfat, Whip)",591,390,10,6,0.2,35,170,56,5,45,18,185
"Caffè Mocha (Venti, 2%, No Whip)",591,380,11,7,0.3,30,190,53,5,43,17,185
"Caffè Mocha (Venti, 2%, Whip)",591,450,18,11,0.5,55,190,55,5,45,17,185
"Caffè Mocha (Venti, Whole, No Whip)",591,420,16,9,0.4,40,170,53,5,43,16,185
"Caffè Mocha (Venti, Whole, Whip)",591,490,23,13,0.5,65,180,55,5,45,17,185
"Caffè Mocha (Venti, Soy, No Whip)",591,330,9,2.5,0,0,140,46,6,34,15,185
"Caffè Mocha (Venti, Soy, Whip)",591,400,16,7,0.2,25,150,48,6,35,15,185
"Caffè Mocha (Venti, Coconut, No Whip)",591,320,12,10,0,0,170,48,5,38,5,185
"Caffè Mocha (Venti, Coconut, Whip)",591,390,19,15,0.2,25,180,50,5,40,5,185
