Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Sugars Added (g),Protein (g)
Manzanita Sol (12 fl oz),,,12,160,0,0,0,0,35,42,0,42,0,0
Manzanita Sol (16 fl oz),,,16,210,0,0,0,0,45,57,0,57,0,0
Manzanita Sol (20 fl oz),,,20,260,0,0,0,0,55,71,0,71,0,0
Manzanita Sol (30 fl oz),,,30,400,0,0,0,0,80,106,0,106,0,0
Miranda Strawberry (12 fl oz),,,12,160,0,0,0,0,70,44,0,44,0,0
Miranda Strawberry (16 fl oz),,,16,220,0,0,0,0,95,58,0,58,0,0
Miranda Strawberry (20 fl oz),,,20,270,0,0,0,0,120,73,0,73,0,0
Miranda Strawberry (30 fl oz),,,30,410,0,0,0,0,180,109,0,109,0,0
MNT DEW Sweet Lightning (20 fl oz),,,20,120,0,0,0,0,190,32,0,25,0,0
Mountain Dew (12 fl oz),,,12,160,0,0,0,0,50,44,0,44,0,0
Mountain Dew (16 fl oz),,,16,220,0,0,0,0,70,59,0,58,0,0
Mountain Dew (20 fl oz),,,20,270,0,0,0,0,85,73,0,73,0,0
Mountain Dew (30 fl oz),,,30,410,0,0,0,0,125,110,0,109,0,0
Mug Root Beer (12 fl oz),,,12,140,0,0,0,0,45,39,0,39,0,0
Mug Root Beer (16 fl oz),,,16,190,0,0,0,0,60,52,0,52,0,0
Mug Root Beer (20 fl oz),,,20,240,0,0,0,0,75,65,0,65,0,0
Mug Root Beer (30 fl oz),,,30,360,0,0,0,0,110,98,0,98,0,0
Pepsi Zero Sugar (12 fl oz),,,12,0,0,0,0,0,35,0,0,0,0,0
Pepsi Zero Sugar (16 fl oz),,,16,0,0,0,0,0,50,0,0,0,0,0
Pepsi Zero Sugar (20 fl oz),,,20,0,0,0,0,0,60,0,0,0,0,0
Pepsi Zero Sugar (30 fl oz),,,30,0,0,0,0,0,95,1,0,0,0,0
Pepsi (12 fl oz),,,12,150,0,0,0,0,30,41,0,41,0,0
Pepsi (16 fl oz),,,16,200,0,0,0,0,45,55,0,55,0,0
Pepsi (20 fl oz),,,20,250,0,0,0,0,55,69,0,69,0,0
Pepsi (30 fl oz),,,30,380,0,0,0,0,80,104,0,103,0,0
Sobe Lifewater Yumberry Pomegranate (12 fl oz),,,12,0,0,0,0,0,45,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (16 fl oz),,,16,0,0,0,0,0,65,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (20 fl oz),,,20,0,0,0,0,0,80,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (30 fl oz),,,30,5,0,0,0,0,120,1,0,0,0,0
Starry (12 fl oz),,,12,150,0,0,0,0,35,39,0,39,39,0
Starry (16 fl oz),,,16,200,0,0,0,0,45,52,0,52,52,0
Starry (20 fl oz),,,20,240,0,0,0,0,55,65,0,65,65,0
Starry (30 fl oz),,,30,370,0,0,0,0,85,97,0,97,97,0
Tropicana Fruit Punch (12 fl oz),,,12,170,0,0,0,0,35,45,0,45,0,0
Tropicana Fruit Punch (16 fl oz),,,16,230,0,0,0,0,45,60,0,60,0,0
Tropicana Fruit Punch (20 fl oz),,,20,280,0,0,0,0,60,75,0,75,0,0
Tropicana Fruit Punch (30 fl oz),,,30,420,0,0,0,0,90,113,0,112,0,0
Tropicana Light Lemonade (12 fl oz),,,12,5,0,0,0,0,140,0,0,0,0,0
