Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Sonic Blast With M&M's Minis Chocolate Candies Mini,530,27,17,0.5,65,210,65,1,51,7
Sonic Blast With M&M's Minis Chocolate Candies (Small),800,41,25,1,100,330,97,2,75,11
Sonic Blast With M&M's Minis Chocolate Candies (Medium),1060,54,34,1.5,135,430,127,2,98,15
Sonic Blast With M&M's Minis Chocolate Candies (Large),1540,80,49,2,210,680,183,3,138,22
Sonic Blast With Oreo Cookie Pieces Mini,440,22,12,0.5,55,340,54,1,34,6
Sonic Blast With Oreo Cookie Pieces (Small),650,33,18,1,90,470,78,1,50,10
Sonic Blast With Oreo Cookie Pieces (Medium),860,44,24,1.5,125,620,103,2,66,13
Sonic Blast With Oreo Cookie Pieces (Large),1300,67,38,2,195,890,153,2,98,20
Sonic Blast With Reese's Peanut Butter Cups Mini,490,27,14,0.5,60,310,55,1,42,9
Sonic Blast With Reese's Peanut Butter Cups (Small),750,41,22,1,95,460,84,2,62,14
Sonic Blast With Reese's Peanut Butter Cups (Medium),990,55,29,1.5,130,610,110,2,82,18
Sonic Blast With Reese's Peanut Butter Cups (Large),1460,80,44,2,205,890,162,3,118,27
Sonic Blast With Snickers Bars Mini,460,24,13,1,65,250,54,1,38,8
Sonic Blast With Snickers Bars (Small),720,37,21,1,95,390,84,1,61,12
Sonic Blast With Snickers Bars (Medium),890,46,26,1.5,130,490,103,1,73,15
Sonic Blast With Snickers Bars (Large),1340,70,40,2.5,205,750,154,1,108,23
Caramel Shake Mini,430,22,16,0.5,55,210,45,0,32,6
Caramel Shake (Small),660,34,23,1,100,350,71,0,49,10
Caramel Shake (Medium),830,41,28,1.5,125,520,97,0,67,12
Caramel Shake (Large),1230,61,41,2,190,790,144,0,99,19
Chocolate Shake Mini,420,23,16,0.5,55,250,48,1,35,6
Chocolate Shake (Small),650,35,24,1,100,390,74,1,52,10
Chocolate Shake (Medium),810,43,29,1.5,125,540,95,1,67,12
Chocolate Shake (Large),1200,63,42,2,190,820,142,2,99,19
Fresh Banana Shake Mini,430,22,15,0.5,55,180,54,2,37,6
Fresh Banana Shake (Small),660,34,23,1,100,310,80,2,54,10
Fresh Banana Shake (Medium),850,41,27,1.5,125,390,108,3,70,13
Fresh Banana Shake (Large),1250,61,39,2,190,590,160,5,103,19
Hot Fudge Shake Mini,450,24,17,0.5,55,210,51,1,37,6
Hot Fudge Shake (Small),680,36,25,1,100,340,77,1,54,10
Hot Fudge Shake (Medium),940,48,33,1.5,125,480,113,2,80,13
Hot Fudge Shake (Large),1350,69,47,2,190,710,162,2,113,19
Peanut Butter Shake Mini,480,30,17,0.5,55,220,45,1,32,8
Peanut Butter Shake (Small),710,43,24,1,100,360,71,1,49,12
Peanut Butter Shake (Medium),940,58,30,1.5,125,480,89,1,61,17
Peanut Butter Shake (Large),1490,94,45,2,190,770,136,2,91,29
Strawberry Shake Mini,400,21,15,0.5,55,180,47,0,35,5
Strawberry Shake (Small),630,34,23,1,100,320,72,0,52,9
Strawberry Shake (Medium),790,41,27,1.5,125,400,92,1,66,11
Strawberry Shake (Large),1160,60,39,2,190,600,137,1,97,17
Vanilla Shake Mini,420,23,16,0.5,65,200,45,0,32,6
Vanilla Shake (Small),650,36,24,1,110,340,71,0,49,10
Vanilla Shake (Medium),820,45,30,1.5,140,430,89,0,61,13
Vanilla Shake (Large),1200,66,43,2,210,650,132,0,90,19
Cheesecake Shake Mini,440,23,15,0.5,55,340,53,0,36,6
Cheesecake Shake (Small),670,35,23,1,100,470,79,0,53,10
